Query,Db_Name,Id_List,Citation_Cnts
GABA AND GABRA3[tiab],pubmed,23169495,25
GABA AND GABRA3[tiab],pubmed,27530116,3
GABA AND GABRA3[tiab],pubmed,26381154,3
GABA AND GABRA3[tiab],pubmed,24236484,6
GABA AND GABRA3[tiab],pubmed,35222660,0
GABA AND GABRA3[tiab],pubmed,18550761,51
GABA AND GABRA3[tiab],pubmed,32417196,4
GABA AND GABRA3[tiab],pubmed,33178009,0
GABA AND GABRA3[tiab],pubmed,10581410,8
GABA AND GABRA3[tiab],pubmed,17970773,3
GABA AND GABRA3[tiab],pubmed,26676335,2
GABA AND GABRA3[tiab],pubmed,11840313,12
GABA AND GABRA3[tiab],pubmed,27063791,4
GABA AND GABRA3[tiab],pubmed,31454673,0
GABA AND GABRA3[tiab],pubmed,25725334,0
GABA AND GABRA3[tiab],pubmed,10745042,22
GABA AND GABRA3[tiab],pubmed,29391390,7
GABA AND GABRA3[tiab],pubmed,33901490,0
GABA AND GABRA3[tiab],pubmed,23157480,20
GABA AND GABRA3[tiab],pubmed,29078789,49
GABA AND GABRA3[tiab],pubmed,26469128,8
GABA AND GABRA3[tiab],pubmed,20538013,20
GABA AND GABRA3[tiab],pubmed,27081042,8
GABA AND GABRA3[tiab],pubmed,26902358,1
GABA AND GABRA3[tiab],pubmed,26869349,56
GABA AND GABRA3[tiab],pubmed,34462486,1
GABA AND GABRA3[tiab],pubmed,34657887,0
GABA AND GABRA3[tiab],pubmed,33407346,1
GABA AND GABRA3[tiab],pubmed,25089631,26
GABA AND GABRA3[tiab],pubmed,31319422,0
GABA AND GABRA3[tiab],pubmed,31841197,7
GABA AND GABRA3[tiab],pubmed,30841457,3
GABA AND GABRA3[tiab],pubmed,31593956,3
GABA AND GABRA3[tiab],pubmed,33328885,1
GABA AND GABRA3[tiab],pubmed,23534823,7
GABA AND GABRA3[tiab],pubmed,25323968,4
GABA AND GABRA3[tiab],pubmed,20512339,6
GABA AND GABRA3[tiab],pubmed,25766675,20
GABA AND GABRA3[tiab],pubmed,19048400,12
GABA AND GABRA3[tiab],pubmed,23872493,29
GABA AND GABRA3[tiab],pubmed,27774052,18
GABA AND GABRA3[tiab],pubmed,22960667,3
GABA AND GABRA3[tiab],pubmed,21427087,16
GABA AND GABRA3[tiab],pubmed,11602034,2
GABA AND GABRA3[tiab],pubmed,10602120,2
GABA AND GABRA3[tiab],pubmed,15238507,26
GABA AND GABRA3[tiab],pubmed,11022400,9
GABA AND GABRA3[tiab],pubmed,8546157,4
GABA AND GABRA3[tiab],pubmed,1684949,8
GABA AND GABRA3[tiab],pubmed,1679744,5
GABA AND GABRA3[tiab],pubmed,2574000,8
GABA AND GABRA4[tiab],pubmed,29299688,5
GABA AND GABRA4[tiab],pubmed,29720720,4
GABA AND GABRA4[tiab],pubmed,29445327,1
GABA AND GABRA4[tiab],pubmed,26405827,11
GABA AND GABRA4[tiab],pubmed,29151244,1
GABA AND GABRA4[tiab],pubmed,21422964,15
GABA AND GABRA4[tiab],pubmed,18334916,34
GABA AND GABRA4[tiab],pubmed,18482426,27
GABA AND GABRA4[tiab],pubmed,19207358,10
GABA AND GABRA4[tiab],pubmed,26884404,1
GABA AND GABRA4[tiab],pubmed,33594062,1
GABA AND GABRA4[tiab],pubmed,33240041,2
GABA AND GABRA4[tiab],pubmed,16901909,67
GABA AND GABRA4[tiab],pubmed,18163449,12
GABA AND GABRA4[tiab],pubmed,16080114,140
GABA AND GABRA4[tiab],pubmed,25124326,27
GABA AND GABRA4[tiab],pubmed,22273344,2
GABA AND GABRA4[tiab],pubmed,33229622,4
GABA AND GABRA4[tiab],pubmed,26239769,9
GABA AND GABRA4[tiab],pubmed,28473323,14
GABA AND GABRA4[tiab],pubmed,21241679,19
GABA AND GABRA4[tiab],pubmed,24608543,33
GABA AND GABRA4[tiab],pubmed,24236484,6
GABA AND GABRA4[tiab],pubmed,18094320,32
GABA AND GABRA4[tiab],pubmed,35152403,0
GABA AND GABRA4[tiab],pubmed,17159992,153
GABA AND GABRA4[tiab],pubmed,31290690,4
GABA AND GABRA4[tiab],pubmed,29255456,3
GABA AND GABRA4[tiab],pubmed,16091474,54
GABA AND GABRA4[tiab],pubmed,17079662,75
GABA AND GABRA4[tiab],pubmed,16770606,74
GABA AND GABRA4[tiab],pubmed,29135068,1
GABA AND GABRA4[tiab],pubmed,15265862,22
GABA AND GABRA4[tiab],pubmed,15024690,299
GABA AND GABRA4[tiab],pubmed,25708312,11
GABA AND GABRA4[tiab],pubmed,17005728,171
GABA AND GABRA4[tiab],pubmed,32028044,3
GABA AND GABRA4[tiab],pubmed,29391390,7
GABA AND GABRA4[tiab],pubmed,28899881,4
GABA AND GABRA4[tiab],pubmed,19078961,56
GABA AND GABRA4[tiab],pubmed,27355804,10
GABA AND GABRA4[tiab],pubmed,24948817,17
GABA AND GABRA4[tiab],pubmed,7607683,17
GABA AND GABRA4[tiab],pubmed,27364953,8
GABA AND GABRA4[tiab],pubmed,26902358,1
GABA AND GABRA4[tiab],pubmed,26357588,9
GABA AND GABRA4[tiab],pubmed,33407346,1
GABA AND GABRA4[tiab],pubmed,32033586,3
GABA AND GABRA4[tiab],pubmed,30841457,3
GABA AND GABRA4[tiab],pubmed,31807776,4
GABA AND GABRA4[tiab],pubmed,20583128,5
GABA AND GABRA4[tiab],pubmed,26250693,21
GABA AND GABRA4[tiab],pubmed,20352880,0
GABA AND GABRA4[tiab],pubmed,20096092,3
GABA AND GABRA4[tiab],pubmed,10843805,2
GABA AND GABRA4[tiab],pubmed,11591652,0
GABA AND GABRA5[tiab],pubmed,33442857,1
GABA AND GABRA5[tiab],pubmed,30815456,5
GABA AND GABRA5[tiab],pubmed,21070817,4
GABA AND GABRA5[tiab],pubmed,22383672,26
GABA AND GABRA5[tiab],pubmed,12661934,2
GABA AND GABRA5[tiab],pubmed,33438026,1
GABA AND GABRA5[tiab],pubmed,19809285,31
GABA AND GABRA5[tiab],pubmed,31056671,12
GABA AND GABRA5[tiab],pubmed,29961870,27
GABA AND GABRA5[tiab],pubmed,16452257,110
GABA AND GABRA5[tiab],pubmed,26884404,1
GABA AND GABRA5[tiab],pubmed,22206818,20
GABA AND GABRA5[tiab],pubmed,27614006,14
GABA AND GABRA5[tiab],pubmed,34530807,0
GABA AND GABRA5[tiab],pubmed,24196163,18
GABA AND GABRA5[tiab],pubmed,23886513,54
GABA AND GABRA5[tiab],pubmed,29725984,12
GABA AND GABRA5[tiab],pubmed,23535829,13
GABA AND GABRA5[tiab],pubmed,17957331,8
GABA AND GABRA5[tiab],pubmed,33240041,2
GABA AND GABRA5[tiab],pubmed,22723691,20
GABA AND GABRA5[tiab],pubmed,31312421,13
GABA AND GABRA5[tiab],pubmed,16080114,140
GABA AND GABRA5[tiab],pubmed,30725256,4
GABA AND GABRA5[tiab],pubmed,25124326,27
GABA AND GABRA5[tiab],pubmed,23672824,2
GABA AND GABRA5[tiab],pubmed,8389469,23
GABA AND GABRA5[tiab],pubmed,15882799,12
